pp,REPORT_DATE,CONTRACT_ID,DAY_PAST_DUE,DPD_GROUP,AMT_PRINCIPAL
190,2023-12-31,LOAN_1678175850,0,0 days,41340.0
191,2023-12-31,LOAN_1676306424,0,0 days,382220.0
192,2023-12-31,LOAN_1678175954,0,0 days,183297.0
193,2023-12-31,LOAN_1678174916,0,0 days,170538.0
194,2023-09-30,LOAN_1678174700,0,0 days,131592.0
195,2023-09-30,LOAN_1678175850,0,0 days,47548.0
196,2023-09-30,LOAN_1667909036,0,0 days,60376.0
197,2023-09-30,LOAN_1678173650,0,0 days,45533.0
198,2023-09-30,LOAN_1678174916,0,0 days,196145.0
199,2023-09-30,LOAN_1678177133,93,91 - 120,195057.0
200,2023-09-30,LOAN_1678171708,0,0 days,88134.0
201,2023-09-30,LOAN_1678178389,0,0 days,183771.0
202,2023-09-30,LOAN_1712908736,0,0 days,117648.0
203,2023-09-30,LOAN_1664982125,0,0 days,241084.0
204,2023-09-30,LOAN_1672544125,0,0 days,36445.0
205,2023-09-30,LOAN_1712908802,0,0 days,95754.0
206,2023-06-30,LOAN_1672544125,0,0 days,41266.0
207,2023-06-30,LOAN_1678178230,0,0 days,198233.0
208,2023-06-30,LOAN_1677476147,0,0 days,59485.0
209,2023-06-30,LOAN_1667908771,0,0 days,101032.0
210,2023-06-30,LOAN_1676306424,0,0 days,494815.0
211,2023-06-30,LOAN_1678178389,0,0 days,205400.0
212,2023-06-30,LOAN_1676306389,0,0 days,128880.0
213,2023-06-30,LOAN_1678171708,0,0 days,99116.0
214,2023-06-30,LOAN_1678177133,1,1 - 30,195057.0
215,2023-06-30,LOAN_1712908736,0,0 days,127004.0
216,2023-06-30,LOAN_1678174916,0,0 days,220564.0
217,2023-06-30,LOAN_1678174700,0,0 days,147080.0
218,2023-06-30,LOAN_1678175954,14,1 - 30,219872.0
219,2023-06-30,LOAN_1668406425,0,0 days,163234.0
220,2023-06-30,LOAN_1668686150,5,1 - 30,109342.0
221,2023-06-30,LOAN_1678175850,0,0 days,53468.0
222,2023-06-30,LOAN_1667909036,0,0 days,68885.0
223,2023-06-30,LOAN_1678177268,0,0 days,13170.0
224,2023-06-30,LOAN_1712908802,0,0 days,103369.0
225,2023-06-30,LOAN_1667909316,0,0 days,32592.0
226,2023-06-30,LOAN_1678173650,0,0 days,53600.0
227,2023-06-30,LOAN_1664982125,5,1 - 30,284625.0
228,2023-03-31,LOAN_1678178389,0,0 days,226024.0
229,2023-03-31,LOAN_1678177133,2,1 - 30,214728.0
230,2023-03-31,LOAN_1677476147,0,0 days,65775.0
231,2023-03-31,LOAN_1678175850,1,1 - 30,60958.0
232,2023-03-31,LOAN_1712908736,0,0 days,135926.0
233,2023-03-31,LOAN_1671446146,0,0 days,145702.0
234,2023-03-31,LOAN_1676306424,0,0 days,547135.0
235,2023-03-31,LOAN_1678171708,0,0 days,109648.0
236,2023-09-30,LOAN_1676306424,0,0 days,439949.0
237,2023-09-30,LOAN_1676306389,0,0 days,114589.0
238,2023-09-30,LOAN_1678175954,15,1 - 30,210337.0
239,2023-09-30,LOAN_1668686150,0,0 days,95398.0
240,2023-09-30,LOAN_1668406425,0,0 days,143071.0
241,2023-09-30,LOAN_1667909316,0,0 days,28566.0
242,2023-09-30,LOAN_1677476147,0,0 days,52890.0
243,2023-09-30,LOAN_1667908771,0,0 days,88552.0
244,2023-12-31,LOAN_1678174700,0,0 days,115291.0
245,2023-12-31,LOAN_1667908771,0,0 days,75426.0
246,2023-12-31,LOAN_1712908802,0,0 days,87723.0
247,2023-12-31,LOAN_1677476147,0,0 days,45950.0
248,2023-12-31,LOAN_1667909036,0,0 days,51427.0
249,2023-12-31,LOAN_1678173650,0,0 days,37547.0
250,2023-12-31,LOAN_1712908736,0,0 days,107781.0
251,2023-12-31,LOAN_1678178389,0,0 days,161009.0
252,2023-12-31,LOAN_1668406425,0,0 days,121865.0
253,2023-12-31,LOAN_1672544125,0,0 days,31373.0
254,2022-12-31,LOAN_1678171708,0,0 days,119756.0
255,2022-12-31,LOAN_1726586150,0,0 days,100746.0
256,2022-12-31,LOAN_1676306389,0,0 days,155647.0
257,2022-12-31,LOAN_1667908763,0,0 days,79872.0
258,2022-12-31,LOAN_1667909316,0,0 days,40130.0
259,2022-12-31,LOAN_1667909157,0,0 days,76156.0
260,2022-12-31,LOAN_1678175954,0,0 days,250121.0
261,2022-12-31,LOAN_1668686150,0,0 days,134013.0
262,2022-12-31,LOAN_1667908997,0,0 days,147015.0
263,2022-12-31,LOAN_1671446146,0,0 days,159763.0
264,2022-12-31,LOAN_1678175850,0,0 days,64594.0
265,2022-12-31,LOAN_1678174916,0,0 days,266457.0
266,2022-12-31,LOAN_1672544125,0,0 days,50295.0
267,2022-12-31,LOAN_1667909036,0,0 days,84816.0
268,2022-12-31,LOAN_1678246147,0,0 days,131496.0
269,2022-12-31,LOAN_1677476147,0,0 days,71839.0
270,2022-12-31,LOAN_1664982125,0,0 days,345268.0
271,2022-12-31,LOAN_1678177268,0,0 days,37763.0
272,2022-12-31,LOAN_1667908771,0,0 days,124397.0
273,2022-12-31,LOAN_1712908736,0,0 days,144571.0
274,2022-12-31,LOAN_1678173650,0,0 days,68407.0
275,2022-12-31,LOAN_1678177133,0,0 days,227412.0
276,2022-12-31,LOAN_1712908604,26,1 - 30,86724.0
277,2022-12-31,LOAN_1668406425,0,0 days,200984.0
278,2022-12-31,LOAN_1678178389,0,0 days,245922.0
279,2022-12-31,LOAN_1712908802,0,0 days,117666.0
280,2022-12-31,LOAN_1678174700,0,0 days,176099.0
281,2022-12-31,LOAN_1680906375,0,0 days,13490.0
282,2022-12-31,LOAN_1676306424,0,0 days,597584.0
283,2022-12-31,LOAN_1678178230,0,0 days,239513.0
284,2023-03-31,LOAN_1684908548,0,0 days,42650.0
285,2022-12-31,LOAN_1684908548,0,0 days,82279.0
286,2022-12-31,LOAN_1693616145,67,61 - 90,150846.0
287,2023-06-30,LOAN_1698696148,0,0 days,10745.0
288,2023-06-30,LOAN_1698356148,0,0 days,29902.0
289,2023-03-31,LOAN_1698783125,0,0 days,50939.0
290,2023-03-31,LOAN_1698356148,0,0 days,50937.0
291,2023-03-31,LOAN_1698696148,0,0 days,18304.0
292,2023-09-30,LOAN_1698356148,0,0 days,7646.0
293,2022-12-31,LOAN_1698356148,0,0 days,70886.0
294,2022-12-31,LOAN_1698696148,0,0 days,25473.0
295,2022-12-31,LOAN_1698783125,0,0 days,70888.0
296,2023-03-31,LOAN_1978213659,0,0 days,57314.0
297,2023-12-31,LOAN_2024006148,0,0 days,220587.0
298,2023-12-31,LOAN_1978213659,0,0 days,44564.0
299,2023-09-30,LOAN_2024006148,0,0 days,239780.0
300,2023-09-30,LOAN_1978213659,0,0 days,48998.0
301,2023-06-30,LOAN_2024006148,0,0 days,258129.0
302,2023-06-30,LOAN_2067935556,0,0 days,170000.0
303,2023-06-30,LOAN_1978213659,0,0 days,53239.0
304,2023-12-31,LOAN_1978214162,0,0 days,887845.0
305,2023-09-30,LOAN_1978214162,0,0 days,915652.0
306,2023-06-30,LOAN_1978214162,0,0 days,941908.0
307,2023-03-31,LOAN_1978214162,0,0 days,967068.0
308,2023-03-31,LOAN_1639846154,0,0 days,32711.0
309,2023-12-31,LOAN_1639846154,0,0 days,6342.0
310,2023-06-30,LOAN_1639846154,0,0 days,24308.0
311,2023-09-30,LOAN_1639846154,0,0 days,15525.0
312,2022-12-31,LOAN_1639846154,0,0 days,40787.0
313,2022-12-31,LOAN_1651206361,0,0 days,25039.0
314,2022-12-31,LOAN_1659104125,0,0 days,3753.0
315,2022-12-31,LOAN_1667908510,0,0 days,11274.0
316,2023-03-31,LOAN_2007928846,0,0 days,49134.0
317,2023-03-31,LOAN_2007346151,0,0 days,50000.0
318,2023-03-31,LOAN_2020826145,0,0 days,10000.0
319,2023-03-31,LOAN_2007929279,0,0 days,50000.0
320,2023-03-31,LOAN_2007929258,0,0 days,24567.0
321,2023-03-31,LOAN_2007928665,0,0 days,42993.0
322,2023-03-31,LOAN_2018006428,0,0 days,39308.0
323,2023-03-31,LOAN_2007929190,0,0 days,24567.0
324,2023-03-31,LOAN_2007929231,0,0 days,50000.0
325,2023-09-30,LOAN_2007930013,17,1 - 30,9099.0
326,2023-06-30,LOAN_2007928665,18,1 - 30,29678.0
327,2023-06-30,LOAN_2007346151,0,0 days,26362.0
328,2023-06-30,LOAN_2007929231,0,0 days,26362.0
329,2023-06-30,LOAN_2007929279,0,0 days,26362.0
330,2023-06-30,LOAN_2007343125,0,0 days,25905.0
331,2023-06-30,LOAN_2007928382,0,0 days,15817.0
332,2023-06-30,LOAN_2007930013,0,0 days,26362.0
333,2023-06-30,LOAN_2007928846,17,1 - 30,33917.0
334,2023-06-30,LOAN_2020826145,0,0 days,5272.0
335,2023-06-30,LOAN_2022818125,0,0 days,8480.0
336,2023-06-30,LOAN_2007929190,0,0 days,12953.0
337,2023-06-30,LOAN_2007929258,0,0 days,12953.0
338,2023-06-30,LOAN_2018006428,0,0 days,20725.0
339,2023-03-31,LOAN_2007343125,0,0 days,49134.0
340,2023-03-31,LOAN_2007928382,0,0 days,30000.0
341,2023-03-31,LOAN_2006226149,0,0 days,50000.0
342,2023-03-31,LOAN_2000306151,0,0 days,49134.0
343,2023-03-31,LOAN_2007930013,0,0 days,50000.0
344,2023-09-30,LOAN_2022818125,0,0 days,2237.0
345,2023-09-30,LOAN_2007928665,49,31 - 60,15368.0
346,2023-03-31,LOAN_2007929379,0,0 days,49134.0
347,2023-03-31,LOAN_2007929739,0,0 days,49134.0
348,2023-03-31,LOAN_2007929408,0,0 days,50000.0
349,2023-03-31,LOAN_2015946154,0,0 days,31000.0
350,2023-03-31,LOAN_2007346146,0,0 days,50000.0
351,2023-03-31,LOAN_2007928689,0,0 days,25000.0
352,2023-09-30,LOAN_2007929491,48,31 - 60,13213.0
353,2023-09-30,LOAN_2022187125,1,1 - 30,8979.0
354,2023-06-30,LOAN_2007930079,0,0 days,26422.0
355,2023-06-30,LOAN_2022187125,0,0 days,25920.0
356,2023-06-30,LOAN_2007928738,0,0 days,25965.0
357,2023-06-30,LOAN_2007929379,78,61 - 90,49134.0
358,2023-06-30,LOAN_2008524125,0,0 days,8214.0
359,2023-06-30,LOAN_2007928484,0,0 days,7789.0
360,2023-06-30,LOAN_2007928689,0,0 days,13211.0
361,2023-06-30,LOAN_2007929491,17,1 - 30,25476.0
362,2023-06-30,LOAN_2014376152,0,0 days,25965.0
363,2023-06-30,LOAN_2015946154,0,0 days,16382.0
364,2023-06-30,LOAN_2018006443,0,0 days,26422.0
365,2023-06-30,LOAN_2007929408,0,0 days,26422.0
366,2023-03-31,LOAN_2007929491,0,0 days,36851.0
367,2023-03-31,LOAN_2007930079,0,0 days,50000.0
368,2023-03-31,LOAN_2008524125,0,0 days,50000.0
369,2023-03-31,LOAN_2018006443,0,0 days,50000.0
370,2023-03-31,LOAN_2014376152,0,0 days,49134.0
371,2023-03-31,LOAN_2007928738,0,0 days,49134.0
372,2023-03-31,LOAN_2007928484,0,0 days,14740.0
373,2023-03-31,LOAN_2003343125,0,0 days,49134.0
374,2023-06-30,LOAN_1996806125,0,0 days,39388.0
375,2023-03-31,LOAN_1996806125,0,0 days,51447.0
376,2023-06-30,LOAN_2007928859,0,0 days,13193.0
377,2023-06-30,LOAN_2022819125,0,0 days,25665.0
378,2023-03-31,LOAN_2007928859,0,0 days,50000.0
379,2023-03-31,LOAN_1978213308,0,0 days,1762519.0
380,2023-12-31,LOAN_1978213308,0,0 days,1601765.0
381,2023-09-30,LOAN_1978213308,0,0 days,1656156.0
382,2023-06-30,LOAN_1978213308,0,0 days,1709667.0
383,2023-03-31,LOAN_1978220091,0,0 days,198422.0
384,2023-09-30,LOAN_2067936486,0,0 days,72425.0
385,2023-06-30,LOAN_2067936486,0,0 days,80000.0
386,2023-12-31,LOAN_2067936486,44,31 - 60,69733.0
387,2023-03-31,LOAN_1973575125,0,0 days,2932385.0
388,2023-03-31,LOAN_1978214898,7,1 - 30,635280.0
389,2023-03-31,LOAN_1978219688,0,0 days,573729.0
390,2023-03-31,LOAN_1978214994,0,0 days,899780.0
391,2023-03-31,LOAN_1978219573,0,0 days,687040.0
392,2023-03-31,LOAN_1978219381,0,0 days,593241.0
393,2023-12-31,LOAN_1978213923,0,0 days,769631.0
394,2023-09-30,LOAN_1978213923,0,0 days,789605.0
395,2023-09-30,LOAN_1978217544,0,0 days,640148.0
396,2023-09-30,LOAN_1978219688,0,0 days,534348.0
397,2023-09-30,LOAN_1978219381,0,0 days,552551.0
398,2023-09-30,LOAN_1978214994,67,61 - 90,887770.0
399,2023-06-30,LOAN_1978214994,0,0 days,887770.0
400,2023-06-30,LOAN_1978217544,0,0 days,663973.0
401,2023-06-30,LOAN_1978219688,0,0 days,554235.0
402,2023-06-30,LOAN_1973575125,0,0 days,2832749.0
403,2023-06-30,LOAN_1978219381,0,0 days,573099.0
404,2023-06-30,LOAN_1978213923,0,0 days,818992.0
405,2023-03-31,LOAN_1978213923,0,0 days,847799.0
406,2023-03-31,LOAN_1978217544,0,0 days,687327.0
407,2023-09-30,LOAN_1973575125,0,0 days,2731105.0
408,2023-12-31,LOAN_1978219381,0,0 days,552551.0
409,2023-12-31,LOAN_1973575125,0,0 days,2626847.0
410,2023-12-31,LOAN_1978219688,0,0 days,513949.0
411,2023-12-31,LOAN_1978217544,0,0 days,615711.0
412,2022-12-31,LOAN_1713908800,0,0 days,77274.0
413,2023-03-31,LOAN_1937933795,0,0 days,951033.0
414,2023-12-31,LOAN_1947908611,0,0 days,259152.0
415,2023-09-30,LOAN_1947908611,0,0 days,259152.0
416,2023-06-30,LOAN_1937933795,0,0 days,951033.0
417,2023-06-30,LOAN_1947908611,0,0 days,259152.0
418,2023-03-31,LOAN_1947908611,0,0 days,264414.0
419,2023-09-30,LOAN_1937933795,0,0 days,944812.0
420,2023-12-31,LOAN_1937933795,0,0 days,944812.0
421,2022-12-31,LOAN_1937933795,0,0 days,963163.0
422,2022-12-31,LOAN_1947908611,0,0 days,269696.0
423,2023-03-31,LOAN_1978220837,0,0 days,511431.0
424,2023-03-31,LOAN_1978218891,0,0 days,924351.0
425,2023-12-31,LOAN_1978215632,0,0 days,1004852.0
426,2023-12-31,LOAN_2138176150,0,0 days,269694.0
427,2023-12-31,LOAN_1978220837,0,0 days,439814.0
428,2023-09-30,LOAN_1978218891,0,0 days,778486.0
429,2023-09-30,LOAN_1978220837,0,0 days,464021.0
430,2023-06-30,LOAN_1978220837,0,0 days,487873.0
431,2023-06-30,LOAN_1978218891,0,0 days,858959.0
432,2023-06-30,LOAN_1978215632,0,0 days,1094443.0
433,2023-03-31,LOAN_1978215632,0,0 days,1147291.0
434,2023-03-31,LOAN_1978220792,0,0 days,764426.0
435,2023-09-30,LOAN_2097406351,0,0 days,811134.0
436,2023-09-30,LOAN_2101241125,0,0 days,598919.0
437,2023-09-30,LOAN_1978215632,0,0 days,1040937.0
438,2023-12-31,LOAN_2101241125,0,0 days,264646.0
439,2023-12-31,LOAN_1978218891,0,0 days,737876.0
440,2023-06-30,LOAN_2067938065,0,0 days,49827.0
441,2023-06-30,LOAN_2041456152,0,0 days,91790.0
442,2023-09-30,LOAN_2041456152,88,61 - 90,91790.0
443,2023-03-31,LOAN_1831266150,0,0 days,93705.0
444,2023-12-31,LOAN_1855889125,0,0 days,762129.0
445,2023-09-30,LOAN_1831266150,0,0 days,76513.0
446,2023-09-30,LOAN_1855889125,0,0 days,863190.0
447,2023-06-30,LOAN_1831266150,0,0 days,85388.0
448,2023-06-30,LOAN_1855889125,0,0 days,957401.0
449,2023-03-31,LOAN_1855889125,0,0 days,1045684.0
450,2022-12-31,LOAN_1831266150,0,0 days,101627.0
451,2022-12-31,LOAN_1855889125,0,0 days,1129844.0
452,2023-03-31,LOAN_1832296151,0,0 days,321198.0
453,2023-12-31,LOAN_1832296151,0,0 days,204253.0
454,2023-09-30,LOAN_1832296151,0,0 days,238423.0
455,2023-06-30,LOAN_1832296151,0,0 days,270929.0
456,2022-12-31,LOAN_1832296151,0,0 days,356469.0
457,2023-03-31,LOAN_1830046154,0,0 days,283150.0
458,2023-12-31,LOAN_1831511125,0,0 days,457919.0
459,2023-12-31,LOAN_1830046154,0,0 days,250585.0
460,2023-09-30,LOAN_1830046154,0,0 days,262203.0
